"Dates","#Fixed tickets"
"2010-12","1"
"2011-06","1"
"2011-08","1"
"2011-09","3"
"2011-10","6"
"2011-11","5"
"2011-12","3"
"2012-01","6"
"2012-02","9"
"2012-03","10"
"2012-04","14"
"2012-05","12"
"2012-06","18"
"2012-07","17"
"2012-08","6"
"2012-10","4"
"2012-11","9"
"2012-12","5"
"2013-01","11"
"2013-02","7"
"2013-03","9"
"2013-04","5"
"2013-05","10"
"2013-06","14"
"2013-07","7"
"2013-08","11"
"2013-09","13"
"2013-10","16"
"2013-11","11"
"2013-12","21"
"2014-01","14"
"2014-02","9"
"2014-03","3"
"2014-05","8"
"2014-06","6"
"2014-07","2"
"2014-09","2"
"2014-10","3"
"2014-11","1"
"2014-12","3"
"2015-01","4"
"2015-03","3"
"2015-04","1"
"2015-05","3"
"2015-07","1"
"2015-08","2"
"2015-09","1"
"2015-11","5"
"2015-12","3"
"2016-01","4"
"2016-03","2"
"2016-04","2"
"2016-07","2"
"2016-10","2"
"2016-12","1"
"2017-01","3"
"2017-02","2"
"2017-04","2"
"2017-06","2"
"2017-08","3"
"2017-09","4"
"2017-10","2"
"2018-01","1"
"2018-03","5"
"2018-05","3"
"2019-05","2"
"2019-06","1"
"2019-07","4"
"2019-08","2"
"2019-09","1"
